Time,AWY (m3),Wsed (Ton),WN (Kg),WP (kg),BF (m3),WC (Ton)
0,0.0,0.0,0.0,0.0,0.0,0.0
1,-14.110022152283838,57.85923816540848,11.188914471382061,23.95490840043556,-28.350605133633138,-50.011933509064356
2,-33.55036699025021,364.28140423575456,37.13333545354868,91.61571168825469,-54.449752192165754,-77.68879349957636
3,-40.81602450670916,321.87793684866944,48.631507881505726,117.59669105591625,-59.055930390194646,-82.48999621143845
4,-44.72600880224895,273.71709521890415,53.98226442602898,131.07324588787048,-61.07361696223239,-84.19034514376999
5,-45.24609195569801,246.95920426457994,54.19982566824143,129.38528537363118,-61.54919942791624,-84.56917192730407
6,-45.35574190732321,234.37493905954074,54.033236736879644,127.6195177285398,-61.72939409835212,-84.71131187159901
7,-45.40525287377383,228.38654498721417,53.94019134265422,126.71260526263106,-61.817137968750615,-84.78009562633538
8,-45.429857795645155,225.4646166765855,53.89328078306706,126.2597328624478,-61.860898448722246,-84.81428772990802
9,-45.44217530730103,224.01963827582577,53.869770017134975,126.03340432184322,-61.88279079281956,-84.8313650190657
10,-45.44834640253304,223.3002489396735,53.857989075241086,125.9201404550181,-61.893753433359855,-84.83990944359509
11,-45.45143874515342,222.940900519382,53.85208528466534,125.86341670415165,-61.89924539468073,-84.84418817811262
12,-45.45298845570201,222.76110002166178,53.84912655025658,125.83499819721182,-61.90199730003141,-84.84633171671713
13,-45.453765117713495,222.67106160367135,53.84764371314007,125.82075789436679,-61.90337637032039,-84.84740580281837
14,-45.454154362478214,222.62595439311505,53.846900544860155,125.81362151194338,-61.904067505185836,-84.84794406378312
15,-45.45434944489521,222.60335197894875,53.84652808110678,125.81004501785434,-61.90441388372368,-84.84821381892148
16,-45.45444721718718,222.59202512884366,53.84634140770709,125.80825256729418,-61.904587481855344,-84.84834901313977
17,-45.45449621927983,222.5863485553842,53.84624784955261,125.80735422466142,-61.90467448642754,-84.84841676984847
18,-45.45452077847002,222.58350360438905,53.846200959442925,125.80690398949135,-61.90471809185888,-84.84845072841787
19,-45.45453308721423,222.58207777014724,53.84617745872925,125.80667833804739,-61.90473994630683,-84.84846774796208
20,-45.45453925619765,222.58136316496947,53.846165680474265,125.80656524459417,-61.90475089946772,-84.84847627792598
21,-45.454542348012836,222.5810050151687,53.846159777363944,125.8065085636417,-61.904756389049744,-84.84848055303137
22,-45.45454389759102,222.58082551535975,53.84615681880057,125.80648015588277,-61.90475914035759,-84.8484826956587
23,-45.45454467421978,222.58073555242223,53.8461553360064,125.80646591827932,-61.9047605192778,-84.84848376951595
24,-45.45454506345618,222.58069046416526,53.846154592848926,125.80645878257484,-61.90476121037498,-84.84848430771942
25,-45.45454525853649,222.5806678665113,53.846154220387874,125.80645520625104,-61.904761556744035,-84.84848457746013
26,-45.45454535630829,222.58065654085684,53.84615403371513,125.80645341384329,-61.9047617303398,-84.84848471265072
27,-45.454545405310235,222.58065086458365,53.84615394015715,125.80645251551141,-61.90476181734377,-84.84848478040652
28,-45.4545454298694,222.58064801970806,53.846153893267136,125.80645206527892,-61.90476186094905,-84.84848481436485
29,-45.45454544217813,222.58064659389288,53.846153869766425,125.80645183962812,-61.90476188280346,-84.84848483138435
30,-45.45454544834712,222.58064587929246,53.846153857988156,125.80645172653485,-61.904761893756636,-84.84848483991429
